,A,B
0, C C,4861338
0, C H,939928
0, C E,882555
0, H C,952028
0, H H,4722442
0, H E,17474
0, E C,866934
0, E H,31105
0, E E,1909693
0, C C C,2895918
0, C C H,826711
0, C C E,840651
0, C H C,32026
0, C H H,904326
0, C H E,1137
0, C E C,61749
0, C E H,4088
0, C E E,815880
0, H C C,879216
0, H C H,52299
0, H C E,15317
0, H H C,916830
0, H H H,3022564
0, H H E,16237
0, H E C,2048
0, H E H,158
0, H E E,15267
0, E C C,782999
0, E C H,59588
0, E C E,21183
0, E H C,872
0, E H H,30133
0, E H E,98
0, E E C,802344
0, E E H,26858
0, E E E,1109351
0, C C C C,1958129
0, C C C H,691842
0, C C C E,723195
0, C C H C,27221
0, C C H H,798466
0, C C H E,784
0, C C E C,55839
0, C C E H,3688
0, C C E E,780769
0, C H C C,27753
0, C H C H,5473
0, C H C E,804
0, C H H C,29977
0, C H H H,873377
0, C H H E,702
0, C H E C,67
0, C H E H,36
0, C H E E,1034
0, C E C C,50838
0, C E C H,5624
0, C E C E,5656
0, C E H C,106
0, C E H H,3946
0, C E H E,36
0, C E E C,81263
0, C E E H,3346
0, C E E E,730736
0, H C C C,773234
0, H C C H,55843
0, H C C E,43692
0, H C H C,5103
0, H C H H,47146
0, H C H E,342
0, H C E C,2261
0, H C E H,12
0, H C E E,13044
0, H H C C,850679
0, H H C H,47071
0, H H C E,14510
0, H H H C,885834
0, H H H H,2108032
0, H H H E,15513
0, H H E C,1958
0, H H E H,102
0, H H E E,14177
0, H E C C,1483
0, H E C H,16
0, H E C E,544
0, H E H C,31
0, H E H H,99
0, H E H E,23
0, H E E C,1237
0, H E E H,60
0, H E E E,13967
0, E C C C,637836
0, E C C H,75756
0, E C C E,66905
0, E C H C,1655
0, E C H H,57922
0, E C H E,11
0, E C E C,4038
0, E C E H,329
0, E C E E,17103
0, E H C C,699
0, E H C H,170
0, E H C E,3
0, E H H C,942
0, E H H H,29169
0, E H H E,22
0, E H E C,23
0, E H E H,21
0, E H E E,55
0, E E C C,730406
0, E E C H,53948
0, E E C E,15210
0, E E H C,735
0, E E H H,26082
0, E E H E,40
0, E E E C,719532
0, E E E H,23452
0, E E E E,750411
0, C C C C C,1344191
0, C C C C H,563906
0, C C C C E,582050
0, C C C H C,22790
0, C C C H H,668146
0, C C C H E,703
0, C C C E C,50642
0, C C C E H,3444
0, C C C E E,668849
0, C C H C C,22029
0, C C H C H,4571
0, C C H C E,522
0, C C H H C,25149
0, C C H H H,772501
0, C C H H E,581
0, C C H E C,55
0, C C H E H,36
0, C C H E E,693
0, C C E C C,45206
0, C C E C H,5215
0, C C E C E,5269
0, C C E H C,102
0, C C E H H,3554
0, C C E H E,32
0, C C E E C,74514
0, C C E E H,3162
0, C C E E E,701946
0, C H C C C,23360
0, C H C C H,2696
0, C H C C E,1646
0, C H C H C,2299
0, C H C H H,2978
0, C H C H E,296
0, C H C E C,96
0, C H C E H,1
0, C H C E E,707
0, C H H C C,26268
0, C H H C H,1942
0, C H H C E,1700
0, C H H H C,89124
0, C H H H H,774224
0, C H H H E,9333
0, C H H E C,73
0, C H H E H,37
0, C H H E E,592
0, C H E C C,42
0, C H E C H,2
0, C H E C E,23
0, C H E H C,3
0, C H E H H,33
0, C H E H E,0
0, C H E E C,119
0, C H E E H,3
0, C H E E E,912
0, C E C C C,41275
0, C E C C H,5602
0, C E C C E,3905
0, C E C H C,115
0, C E C H H,5509
0, C E C H E,0
0, C E C E C,786
0, C E C E H,67
0, C E C E E,4899
0, C E H C C,89
0, C E H C H,15
0, C E H C E,2
0, C E H H C,95
0, C E H H H,3846
0, C E H H E,5
0, C E H E C,11
0, C E H E H,3
0, C E H E E,22
0, C E E C C,70879
0, C E E C H,6909
0, C E E C E,2649
0, C E E H C,122
0, C E E H H,3215
0, C E E H E,9
0, C E E E C,100000
0, C E E E H,4257
0, C E E E E,625759
0, H C C C C,602758
0, H C C C H,65896
0, H C C C E,98852
0, H C C H C,1609
0, H C C H H,54177
0, H C C H E,32
0, H C C E C,2294
0, H C C E H,98
0, H C C E E,41300
0, H C H C C,4334
0, H C H C H,687
0, H C H C E,278
0, H C H H C,2633
